"","rules","support","confidence","lift","count"
"1","{cake bar} => {whole milk}",0.00559113550879333,0.423076923076923,1.65611129817258,55
"2","{dishes} => {other vegetables}",0.00599776354579648,0.341040462427746,1.76290858061048,59
"3","{dishes} => {whole milk}",0.00528616448104097,0.300578034682081,1.17659615088246,52
"4","{mustard} => {whole milk}",0.00518450747179018,0.432203389830508,1.69183634928878,51
"5","{pot plants} => {whole milk}",0.00691267662905357,0.4,1.56577795463589,68
"6","{chewing gum} => {soda}",0.00538782149029176,0.256038647342995,1.46860185067816,53
"7","{canned fish} => {other vegetables}",0.00508285046253939,0.337837837837838,1.74635355271193,50
"8","{pasta} => {whole milk}",0.00609942055504727,0.405405405405405,1.58693711618503,60
"9","{herbs} => {root vegetables}",0.00701433363830436,0.43125,3.95728194962687,69
"10","{herbs} => {other vegetables}",0.00772593270305988,0.475,2.45537309511298,76
"11","{herbs} => {whole milk}",0.00772593270305988,0.475,1.85936132113012,76
"12","{processed cheese} => {soda}",0.00528616448104097,0.319018404907975,1.82984492657712,52
"13","{processed cheese} => {other vegetables}",0.00548947849954254,0.331288343558282,1.71249786420537,54
"14","{processed cheese} => {whole milk}",0.00701433363830436,0.423312883435583,1.65703495199197,69
"15","{semi-finished bread} => {other vegetables}",0.00518450747179018,0.293103448275862,1.51511225469766,51
"16","{semi-finished bread} => {whole milk}",0.00711599064755515,0.402298850574713,1.57477667851311,70
"17","{beverages} => {whole milk}",0.00681101961980279,0.26171875,1.02448362266216,67
"18","{detergent} => {other vegetables}",0.00640439158279963,0.333333333333333,1.72306883867578,63
"19","{detergent} => {whole milk}",0.00894581681406933,0.465608465608466,1.82259867735395,88
"20","{pickled vegetables} => {other vegetables}",0.00640439158279963,0.357954545454545,1.85034096880524,63
"21","{pickled vegetables} => {whole milk}",0.00711599064755515,0.397727272727273,1.55688148898455,70
"22","{baking powder} => {other vegetables}",0.00731930466605672,0.413793103448276,2.138982006632,72
"23","{baking powder} => {whole milk}",0.00925078784182169,0.522988505747126,2.04720968206704,91
"24","{flour} => {other vegetables}",0.00630273457354885,0.362573099415205,1.8742152280333,62
"25","{flour} => {whole milk}",0.00843753176781539,0.485380116959064,1.89999371688274,83
